ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
8370258.0,7700,228437.0,724567.0,2023,2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,23,5,1,1.32,9.0
8370258.0,7700,228437.0,724567.0,2023,2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2.0,1,1,23,4,1,1.32,3.0
8820071.0,70,166297.0,632247.0,2023,4,70,4,1,1,1,8,0,3,3,1,3,3,1,1,2.0,1,1,61,8,1,2.52,22.0
8820071.0,70,166297.0,632247.0,2023,4,70,4,1,1,1,8,0,3,3,1,3,3,1,1,2.0,1,1,61,14,1,2.52,50.0
280153.0,9300,194992.0,719133.0,2023,8,77,4,1,3,1,8,0,3,1,1,2,3,1,0,1.0,1,1,32,17,1,0.6,6.0
8310213.0,2610,199986.0,624247.0,2023,5,95,4,5,5,1,9,3,0,1,1,3,1,3,0,1.0,1,1,11,4,1,1.32,4.0
8310213.0,2610,199986.0,624247.0,2023,5,95,4,5,5,1,9,3,0,1,1,3,1,3,0,1.0,1,1,11,4,2,1.32,4.0
7970003.0,8500,187454.0,649520.0,2023,1,72,4,5,7,1,8,0,3,1,1,5,3,3,1,2.0,1,1,43,14,2,2.52,48.0
7970003.0,8500,187454.0,649520.0,2023,1,72,4,5,7,1,8,0,3,1,1,5,3,3,1,2.0,1,1,43,4,1,2.52,3.0
16910623.0,4000,202501.0,743037.0,2023,10,32,4,1,6,1,8,3,0,1,1,2,3,1,1,2.0,1,1,31,13,1,2.52,33.0
16910623.0,4000,202501.0,743037.0,2023,10,32,4,1,6,1,8,3,0,1,1,2,3,1,1,2.0,1,1,31,7,1,2.52,18.0
9800132.0,6500,191755.0,704504.0,2023,9,12,4,5,7,1,9,0,2,1,1,4,5,3,1,2.0,1,1,32,6,2,3.12,9.0
9800132.0,6500,191755.0,704504.0,2023,9,12,4,5,7,1,9,0,2,1,1,4,5,3,1,2.0,1,1,32,13,1,3.12,33.0
180095.0,168,194078.0,691672.0,2023,11,72,4,5,4,1,8,3,0,1,1,2,3,8,0,1.0,1,1,41,9,1,0.6,24.0
26490545.0,3000,220331.0,628105.0,2023,10,76,4,5,2,1,8,3,0,1,1,2,3,3,1,2.0,1,1,11,8,1,12.66,21.0
26490545.0,3000,220331.0,628105.0,2023,10,76,4,5,2,1,8,3,0,1,1,2,3,3,1,2.0,1,1,11,11,1,12.66,37.0
99970487.0,7900,186706.0,667595.0,2023,9,33,4,1,5,1,9,0,3,3,1,4,4,1,9,,1,1,42,7,1,1.98,17.0
8890111.0,3000,221932.0,634160.0,2023,7,5,4,5,3,1,8,3,0,1,1,3,3,3,1,2.0,1,1,11,6,1,2.57,3.0
10010053.0,7900,190253.0,664852.0,2023,6,85,4,5,6,1,9,3,0,1,1,2,3,3,0,5.0,1,1,42,12,1,1.32,37.0
